municipio,potencial_destinacao_valor,potencial_destinacao_contribuintes,destinacoes_por_localidade_valor,destinacoes_por_localidade_contribuintes,valor_destinado_fundo,quantidade_doacoes_declaradas,percentual_crianca_adolescente,percentual_pessoa_idosa,darfs_pagos_valor,quantidade_doacoes_pagas,data_referencia_declaracoes,data_referencia_darfs,fonte,data_processamento
MACAPARANA,216711.76,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723675
MACHADOS,57395.01,171.0,0.0,0.0,721.39,3.0,6.9,93.1,721.39,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723676
MANARI,35007.06,92.0,312.53,1.0,10824.09,14.0,100.0,0.0,2559.09,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723678
MARAIAL,30051.16,125.0,187.57,1.0,462.0,1.0,0.0,100.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723681
MIRANDIBA,112592.22,271.0,442.7,1.0,4692.6,8.0,59.0,41.0,1207.81,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723683
MOREILANDIA,62981.37,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723687
MORENO,728471.9,1613.0,4665.21,8.0,4438.94,11.0,74.6,25.4,606.02,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723688
NAZARE DA MATA,513365.07,1108.0,5080.17,3.0,6166.2,13.0,0.0,100.0,3275.72,8.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723689
OLINDA,15961176.03,24219.0,221195.42,186.0,122742.11,159.0,47.2,52.8,61605.77,80.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723691
OROBO,120144.08,368.0,517.11,3.0,4719.15,4.0,0.0,100.0,436.19,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723737
OROCO,104595.0,187.0,11472.73,16.0,1929.61,2.0,0.0,100.0,1929.61,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723738
OURICURI,533140.08,1155.0,5005.81,8.0,3564.98,6.0,0.0,100.0,2638.79,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723739
PALMARES,801181.75,1517.0,48309.45,46.0,127634.55,143.0,61.3,38.7,72724.32,67.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723741
PALMEIRINA,38820.08,107.0,418.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723742
PANELAS,126028.6,301.0,8791.87,12.0,3474.59,6.0,16.9,83.1,3287.02,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723743
